CompositeKeyWritable{location='Wyoming', topic='Stroke'}	1
CompositeKeyWritable{location='Alabama', topic='Stroke'}	22
CompositeKeyWritable{location='Alaska', topic='Stroke'}	22
CompositeKeyWritable{location='Arizona', topic='Stroke'}	22
CompositeKeyWritable{location='Arkansas', topic='Stroke'}	22
CompositeKeyWritable{location='California', topic='Stroke'}	22
CompositeKeyWritable{location='Colorado', topic='Stroke'}	22
CompositeKeyWritable{location='Connecticut', topic='Stroke'}	22
CompositeKeyWritable{location='Delaware', topic='Stroke'}	22
CompositeKeyWritable{location='Washington DC', topic='Stroke'}	22
CompositeKeyWritable{location='Florida', topic='Stroke'}	22
CompositeKeyWritable{location='Georgia', topic='Stroke'}	22
CompositeKeyWritable{location='Hawaii', topic='Stroke'}	22
CompositeKeyWritable{location='Idaho', topic='Stroke'}	22
CompositeKeyWritable{location='Illinois', topic='Stroke'}	22
CompositeKeyWritable{location='Indiana', topic='Stroke'}	21
CompositeKeyWritable{location='Kentucky', topic='Stroke'}	1
CompositeKeyWritable{location='Indiana', topic='Stroke'}	1
CompositeKeyWritable{location='Iowa', topic='Stroke'}	18
CompositeKeyWritable{location='Louisiana', topic='Stroke'}	1
CompositeKeyWritable{location='Iowa', topic='Stroke'}	4
CompositeKeyWritable{location='Kansas', topic='Stroke'}	22
CompositeKeyWritable{location='Kentucky', topic='Stroke'}	21
CompositeKeyWritable{location='Louisiana', topic='Stroke'}	21
CompositeKeyWritable{location='Maine', topic='Stroke'}	22
CompositeKeyWritable{location='Maryland', topic='Stroke'}	22
CompositeKeyWritable{location='Massachusetts', topic='Stroke'}	6
CompositeKeyWritable{location='Michigan', topic='Stroke'}	1
CompositeKeyWritable{location='Massachusetts', topic='Stroke'}	16
CompositeKeyWritable{location='Michigan', topic='Stroke'}	21
CompositeKeyWritable{location='Minnesota', topic='Stroke'}	22
CompositeKeyWritable{location='Mississippi', topic='Stroke'}	22
CompositeKeyWritable{location='Missouri', topic='Stroke'}	22
CompositeKeyWritable{location='Montana', topic='Stroke'}	14
CompositeKeyWritable{location='Nebraska', topic='Stroke'}	1
CompositeKeyWritable{location='Montana', topic='Stroke'}	8
CompositeKeyWritable{location='Nebraska', topic='Stroke'}	21
CompositeKeyWritable{location='Nevada', topic='Stroke'}	22
CompositeKeyWritable{location='New Hampshire', topic='Stroke'}	22
CompositeKeyWritable{location='New Jersey', topic='Stroke'}	22
CompositeKeyWritable{location='New Mexico', topic='Stroke'}	20
CompositeKeyWritable{location='New York', topic='Stroke'}	1
CompositeKeyWritable{location='New Mexico', topic='Stroke'}	2
CompositeKeyWritable{location='New York', topic='Stroke'}	21
CompositeKeyWritable{location='North Carolina', topic='Stroke'}	22
CompositeKeyWritable{location='North Dakota', topic='Stroke'}	22
CompositeKeyWritable{location='Ohio', topic='Stroke'}	21
CompositeKeyWritable{location='Oklahoma', topic='Stroke'}	22
CompositeKeyWritable{location='Oregon', topic='Stroke'}	22
CompositeKeyWritable{location='Pennsylvania', topic='Stroke'}	22
CompositeKeyWritable{location='Rhode Island', topic='Stroke'}	22
CompositeKeyWritable{location='South Carolina', topic='Stroke'}	22
CompositeKeyWritable{location='South Dakota', topic='Stroke'}	22
CompositeKeyWritable{location='Tennessee', topic='Stroke'}	22
CompositeKeyWritable{location='Texas', topic='Stroke'}	22
CompositeKeyWritable{location='Utah', topic='Stroke'}	22
CompositeKeyWritable{location='Vermont', topic='Stroke'}	22
CompositeKeyWritable{location='Virginia', topic='Stroke'}	22
CompositeKeyWritable{location='Washington', topic='Stroke'}	22
CompositeKeyWritable{location='West Virginia', topic='Stroke'}	18
CompositeKeyWritable{location='Wyoming', topic='Stroke'}	1
CompositeKeyWritable{location='West Virginia', topic='Stroke'}	4
CompositeKeyWritable{location='Wisconsin', topic='Stroke'}	22
CompositeKeyWritable{location='Wyoming', topic='Stroke'}	21
CompositeKeyWritable{location='Alaska', topic='Stroke'}	10
CompositeKeyWritable{location='Arizona', topic='Stroke'}	1
CompositeKeyWritable{location='Alaska', topic='Stroke'}	7
CompositeKeyWritable{location='Arizona', topic='Stroke'}	21
CompositeKeyWritable{location='Arkansas', topic='Stroke'}	22
CompositeKeyWritable{location='California', topic='Stroke'}	22
CompositeKeyWritable{location='Colorado', topic='Stroke'}	22
CompositeKeyWritable{location='Connecticut', topic='Stroke'}	2
CompositeKeyWritable{location='Alabama', topic='Stroke'}	1
CompositeKeyWritable{location='Connecticut', topic='Stroke'}	20
CompositeKeyWritable{location='Delaware', topic='Stroke'}	22
CompositeKeyWritable{location='Washington DC', topic='Stroke'}	18
CompositeKeyWritable{location='Georgia', topic='Stroke'}	1
CompositeKeyWritable{location='Washington DC', topic='Stroke'}	4
CompositeKeyWritable{location='Florida', topic='Stroke'}	22
CompositeKeyWritable{location='Georgia', topic='Stroke'}	21
CompositeKeyWritable{location='Hawaii', topic='Stroke'}	22
CompositeKeyWritable{location='Idaho', topic='Stroke'}	22
CompositeKeyWritable{location='Illinois', topic='Stroke'}	11
CompositeKeyWritable{location='Alabama', topic='Stroke'}	1
CompositeKeyWritable{location='Illinois', topic='Stroke'}	11
CompositeKeyWritable{location='Indiana', topic='Stroke'}	22
